BORONAME,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY,BOROCODE
Queens,Free,Spot On Networks,40.755727,-73.944583,Indoor AP - Community Center - Computer Rm,Queens,4
Queens,Free,Spot On Networks,40.755333,-73.944131,Indoor AP - Queens Public Library,Queens,4
Queens,Free,Spot On Networks,40.755751,-73.945166,Indoor AP - North Management Office,Queens,4
Queens,Free,Spot On Networks,40.755751,-73.945166,Indoor AP - North Maintenance Area,Queens,4
Queens,Free,Spot On Networks,40.75529,-73.945633,Indoor AP - South Management Office,Queens,4
Queens,Free,Spot On Networks,40.755636,-73.947657,Indoor AP - South Maintenance Area,Queens,4
Manhattan,Free,LinkNYC - Citybridge,40.780942,-73.980966,Outdoor Kiosk,New York,1
Staten Island,Free,LinkNYC - Citybridge,40.577391,-74.102671,Outdoor Kiosk,Staten Island,5
Bronx,Free,LinkNYC - Citybridge,40.808293,-73.923332,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.799659,-73.938923,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.800096,-73.938605,Outdoor Kiosk,New York,1
Brooklyn,Limited Free,ALTICEUSA,40.65743,-73.94716,Outdoor,Brooklyn,3
Manhattan,Free,LinkNYC - Citybridge,40.724065,-74.007972,Outdoor Kiosk,New York,1
Staten Island,Free,LinkNYC - Citybridge,40.576541,-74.103479,Outdoor Kiosk,Staten Island,5
Manhattan,Free,LinkNYC - Citybridge,40.745863,-73.980233,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.782285,-73.980476,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.802637,-73.936468,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.716939,-74.006222,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.766216,-73.969979,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.861762,-73.901965,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.814447,-73.94792,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.835734,-73.91396,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.792132,-73.973409,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.717726,-74.00561,Outdoor Kiosk,New York,1
Queens,Free,LinkNYC - Citybridge,40.771055,-73.921496,Outdoor Kiosk,Queens,4
Manhattan,Free,LinkNYC - Citybridge,40.717805,-74.005815,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.800681,-73.96826,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.747144,-73.983698,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.779561,-73.959954,Outdoor Kiosk,New York,1
Manhattan,Free,LinkNYC - Citybridge,40.725666,-74.006274,Outdoor Kiosk,New York,1
Bronx,Free,LinkNYC - Citybridge,40.825605,-73.918258,Outdoor Kiosk,Bronx,2
Manhattan,Free,LinkNYC - Citybridge,40.739464,-73.987052,Outdoor Kiosk,New York,1
Queens,Free,LinkNYC - Citybridge,40.770747,-73.920354,Outdoor Kiosk,Queens,4
